Score,Title,Company,Location,Salary,URL,Match Reasons,Rejection Reasons,FetchedAt
61,"Product Manager, EMEA Local Payment Methods",Stripe,London,,https://stripe.com/jobs/search?gh_jid=8010011,"Role matches Product Manager; Mid-level or unspecified seniority; Has AI or technical relevance: matching agentic, infrastructure","Location ""London"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
61,Product Manager II - Growth (Remote Eligible),Smartsheet,"-REMOTE, USA-",,https://job-boards.greenhouse.io/smartsheet/jobs/7951915,"Role matches Product Manager; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, agents, analytics","Location ""-REMOTE, USA-"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
61,"Principal Product Manager, Ads & Measurement",SoFi,"CA - San Francisco, WA - Seattle",,https://sofi.com/careers/job/7580153003?gh_jid=7580153003,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, ml","Location ""CA - San Francisco, WA - Seattle"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
61,"Senior Product Manager, Member Account Safety",SoFi,CA - San Francisco; WA - Seattle,,https://sofi.com/careers/job/7616217003?gh_jid=7616217003,Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Matches preferred domain(s): FinTech,"Location ""CA - San Francisco; WA - Seattle"" indicates a region-locked role, not globally remote",2026-06-27T11:52:46.000Z
61,"Director of Product, Customer Experience",Voltus,Remote,,https://jobs.lever.co/voltus/a7d9918d-c8e1-4009-872e-98953b4986e6,Role matches Leadership Product (Director/Head/VP); Job is listed as remote but region criteria is not explicitly stated; Seniority matches target profile (Senior/Lead/Leadership),Does not match target domains (SaaS/FinTech),2026-06-27T11:52:46.000Z
61,"Product Manager, Integrations",Cohere,Toronto,,https://jobs.ashbyhq.com/cohere/87e9fd4e-49ac-4242-97be-7da6f718020d,"Role matches Product Manager; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, generative, agentic","Location ""Toronto"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
60,Staff Product Manager Enterprise,LiveKit,,$225.000 - $265.000,https://remoteOK.com/remote-jobs/remote-staff-product-manager-enterprise-livekit-1131531,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, ml, agents; Salary range is disclosed",No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
60,"Staff Product Manager, AI Personalization",Airbnb,United States,,https://careers.airbnb.com/positions/7834495?gh_jid=7834495,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, llm, ml","Location ""United States"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
60,"Senior Product Manager, Notifications",Duolingo,"New York, NY",,https://careers.duolingo.com/jobs/8409034002?gh_jid=8409034002,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, ml","Location ""New York, NY"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
59,Product Manager - Market Platform,Voltus,Remote,,https://jobs.lever.co/voltus/d2dac708-c864-4f43-89cf-6220c1387e38,Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Mid-level or unspecified seniority,Does not match target domains (SaaS/FinTech),2026-06-27T11:52:46.000Z
